epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,8677.68,1.32514,0.71601,1.16744,0.8939,0.92044,0.95595,0.67334,1.37832,0.59517,1.21509,0.004654,0.004654,0.004654
56,8834.95,1.3233,0.71529,1.16298,0.89464,0.92019,0.95618,0.67464,1.37725,0.59472,1.21413,0.004555,0.004555,0.004555
57,8992.29,1.32414,0.71386,1.16257,0.89469,0.92144,0.95641,0.6751,1.37658,0.59368,1.21345,0.004456,0.004456,0.004456
58,9149.42,1.31779,0.70734,1.16136,0.89564,0.92084,0.95672,0.67608,1.37559,0.59251,1.21277,0.004357,0.004357,0.004357
59,9306.62,1.321,0.70817,1.16619,0.89488,0.9229,0.95695,0.67623,1.37464,0.5914,1.21221,0.004258,0.004258,0.004258
60,9464.05,1.3124,0.70381,1.1645,0.89319,0.92445,0.95732,0.67663,1.37364,0.59079,1.21151,0.004159,0.004159,0.004159
61,9621.46,1.30703,0.69806,1.15902,0.88887,0.92908,0.9576,0.67705,1.37276,0.58977,1.21085,0.00406,0.00406,0.00406
62,9778.81,1.30819,0.6966,1.15604,0.8865,0.93133,0.95778,0.67643,1.372,0.58902,1.21015,0.003961,0.003961,0.003961
63,9936.17,1.29748,0.68891,1.15215,0.88555,0.93249,0.95789,0.67641,1.37122,0.58828,1.20947,0.003862,0.003862,0.003862
64,10093.4,1.29906,0.68799,1.15286,0.8859,0.9335,0.95808,0.6769,1.37031,0.58745,1.20877,0.003763,0.003763,0.003763
65,10250.5,1.29409,0.68974,1.15065,0.8879,0.93192,0.95828,0.6776,1.36931,0.58632,1.20802,0.003664,0.003664,0.003664
66,10407.8,1.2913,0.68035,1.14552,0.8889,0.93116,0.95826,0.67792,1.3683,0.58542,1.20727,0.003565,0.003565,0.003565
67,10564.9,1.2837,0.67947,1.14429,0.88987,0.93164,0.95829,0.67884,1.36737,0.58441,1.20656,0.003466,0.003466,0.003466
68,10722.2,1.28509,0.67732,1.14554,0.88952,0.93375,0.95861,0.67926,1.36638,0.58324,1.20586,0.003367,0.003367,0.003367
69,10879.3,1.27735,0.67316,1.14208,0.88949,0.93388,0.95869,0.67962,1.36523,0.58211,1.20501,0.003268,0.003268,0.003268
70,11036.5,1.27249,0.66676,1.13843,0.89226,0.93226,0.9588,0.68009,1.36431,0.58121,1.20422,0.003169,0.003169,0.003169
71,11193.6,1.27011,0.66519,1.13681,0.89221,0.93139,0.95901,0.6815,1.36336,0.58034,1.20357,0.00307,0.00307,0.00307
72,11350.8,1.26801,0.66356,1.1369,0.89265,0.932,0.95915,0.68196,1.36237,0.5795,1.2027,0.002971,0.002971,0.002971
73,11508.5,1.25704,0.65714,1.13241,0.89125,0.93346,0.95916,0.68233,1.36124,0.57831,1.20188,0.002872,0.002872,0.002872
74,11666.4,1.25924,0.65567,1.13217,0.89143,0.93269,0.9594,0.6835,1.36018,0.57713,1.20098,0.002773,0.002773,0.002773
75,11824.4,1.2525,0.65064,1.1284,0.89098,0.93253,0.9596,0.68362,1.35944,0.57597,1.20017,0.002674,0.002674,0.002674
76,11982.3,1.25117,0.65319,1.12714,0.89104,0.93281,0.95976,0.68455,1.35851,0.57525,1.19932,0.002575,0.002575,0.002575
77,12140.1,1.25049,0.65179,1.12597,0.89128,0.93284,0.95987,0.6852,1.35737,0.57416,1.19843,0.002476,0.002476,0.002476
78,12298.1,1.24198,0.64346,1.12219,0.89174,0.93319,0.96002,0.68567,1.35651,0.57326,1.19765,0.002377,0.002377,0.002377
79,12455.6,1.24103,0.64178,1.12211,0.89164,0.93334,0.96007,0.6859,1.35536,0.57225,1.19688,0.002278,0.002278,0.002278
80,12612.7,1.23647,0.63934,1.11844,0.8929,0.9322,0.96032,0.68669,1.35432,0.57106,1.196,0.002179,0.002179,0.002179
81,12769.9,1.22734,0.63489,1.11626,0.89295,0.93252,0.96057,0.68653,1.35326,0.57028,1.19513,0.00208,0.00208,0.00208
82,12945.8,1.22336,0.6302,1.11562,0.89323,0.93235,0.96075,0.68684,1.3523,0.56928,1.19441,0.001981,0.001981,0.001981
83,13104,1.21773,0.62966,1.11335,0.89325,0.93379,0.96085,0.68749,1.35103,0.56805,1.19347,0.001882,0.001882,0.001882
84,13261.1,1.21296,0.62583,1.10777,0.89161,0.93541,0.96112,0.68794,1.34977,0.56682,1.1925,0.001783,0.001783,0.001783
85,13418.3,1.21112,0.62077,1.10732,0.8915,0.93587,0.96138,0.68811,1.34868,0.56613,1.19159,0.001684,0.001684,0.001684
